Epoch [1/50], Image [2858], Avg Loss: 262.3608
Epoch [2/50], Image [2858], Avg Loss: 241.0633
Epoch [3/50], Image [2858], Avg Loss: 218.9878
Epoch [4/50], Image [2858], Avg Loss: 183.8287
Epoch [5/50], Image [2858], Avg Loss: 166.6092
Epoch [6/50], Image [2858], Avg Loss: 123.4734
Epoch [7/50], Image [2858], Avg Loss: 146.0981
Epoch [8/50], Image [2858], Avg Loss: 120.2975
Epoch [9/50], Image [2858], Avg Loss: 99.3318
Epoch [10/50], Image [2858], Avg Loss: 103.2183
Epoch [11/50], Image [2858], Avg Loss: 41.9607
Epoch [12/50], Image [2858], Avg Loss: 66.1759
Epoch [13/50], Image [2858], Avg Loss: 35.2340
Epoch [14/50], Image [2858], Avg Loss: 21.2831
Epoch [15/50], Image [2858], Avg Loss: 59.5359
Epoch [16/50], Image [2858], Avg Loss: 126.4004
Epoch [17/50], Image [2858], Avg Loss: 28.2321
Epoch [18/50], Image [2858], Avg Loss: 21.4065
Epoch [19/50], Image [2858], Avg Loss: 49.2405
Epoch [20/50], Image [2858], Avg Loss: 31.5832
Epoch [21/50], Image [2858], Avg Loss: 12.8822
Epoch [22/50], Image [2858], Avg Loss: 9.2276
Epoch [23/50], Image [2858], Avg Loss: 7.7374
Epoch [24/50], Image [2858], Avg Loss: 7.0819
Epoch [25/50], Image [2858], Avg Loss: 6.3722
Epoch [26/50], Image [2858], Avg Loss: 6.3918
Epoch [27/50], Image [2858], Avg Loss: 5.4018
Epoch [28/50], Image [2858], Avg Loss: 5.2395
Epoch [29/50], Image [2858], Avg Loss: 4.6585
Epoch [30/50], Image [2858], Avg Loss: 4.5567
Epoch [31/50], Image [2858], Avg Loss: 4.2152
Epoch [32/50], Image [2858], Avg Loss: 4.2003
Epoch [33/50], Image [2858], Avg Loss: 3.6533
Epoch [34/50], Image [2858], Avg Loss: 3.3965
Epoch [35/50], Image [2858], Avg Loss: 3.3697
Epoch [36/50], Image [2858], Avg Loss: 3.2895
Epoch [37/50], Image [2858], Avg Loss: 2.9700
Epoch [38/50], Image [2858], Avg Loss: 2.7949
Epoch [39/50], Image [2858], Avg Loss: 2.8993
Epoch [40/50], Image [2858], Avg Loss: 2.7132
Epoch [41/50], Image [2858], Avg Loss: 2.5470
Epoch [42/50], Image [2858], Avg Loss: 2.6265
Epoch [43/50], Image [2858], Avg Loss: 2.4039
Epoch [44/50], Image [2858], Avg Loss: 2.0637
Epoch [45/50], Image [2858], Avg Loss: 1.9483
Epoch [46/50], Image [2858], Avg Loss: 1.7526
Epoch [47/50], Image [2858], Avg Loss: 1.7072
Epoch [48/50], Image [2858], Avg Loss: 1.6554
Epoch [49/50], Image [2858], Avg Loss: 1.5850
Epoch [50/50], Image [2858], Avg Loss: 1.7626
