Epoch [1/50], Image [2858], Avg Loss: 236.0303
Epoch [2/50], Image [2858], Avg Loss: 10.6539
Epoch [3/50], Image [2858], Avg Loss: 8.4713
Epoch [4/50], Image [2858], Avg Loss: 7.5608
Epoch [5/50], Image [2858], Avg Loss: 6.9549
Epoch [6/50], Image [2858], Avg Loss: 6.5427
Epoch [7/50], Image [2858], Avg Loss: 5.8317
Epoch [8/50], Image [2858], Avg Loss: 5.2906
Epoch [9/50], Image [2858], Avg Loss: 4.6165
Epoch [10/50], Image [2858], Avg Loss: 4.3030
Epoch [11/50], Image [2858], Avg Loss: 4.0790
Epoch [12/50], Image [2858], Avg Loss: 3.7549
Epoch [13/50], Image [2858], Avg Loss: 3.4813
Epoch [14/50], Image [2858], Avg Loss: 3.3366
Epoch [15/50], Image [2858], Avg Loss: 3.1309
Epoch [16/50], Image [2858], Avg Loss: 2.8543
Epoch [17/50], Image [2858], Avg Loss: 2.6070
Epoch [18/50], Image [2858], Avg Loss: 2.4563
Epoch [19/50], Image [2858], Avg Loss: 2.3223
Epoch [20/50], Image [2858], Avg Loss: 2.1982
Epoch [21/50], Image [2858], Avg Loss: 2.0671
Epoch [22/50], Image [2858], Avg Loss: 1.9458
Epoch [23/50], Image [2858], Avg Loss: 1.9359
Epoch [24/50], Image [2858], Avg Loss: 1.8059
Epoch [25/50], Image [2858], Avg Loss: 1.7678
Epoch [26/50], Image [2858], Avg Loss: 1.7737
Epoch [27/50], Image [2858], Avg Loss: 1.6887
Epoch [28/50], Image [2858], Avg Loss: 1.6376
Epoch [29/50], Image [2858], Avg Loss: 1.6305
Epoch [30/50], Image [2858], Avg Loss: 1.5996
Epoch [31/50], Image [2858], Avg Loss: 1.5333
Epoch [32/50], Image [2858], Avg Loss: 1.5661
Epoch [33/50], Image [2858], Avg Loss: 1.4985
Epoch [34/50], Image [2858], Avg Loss: 1.5169
Epoch [35/50], Image [2858], Avg Loss: 1.4731
Epoch [36/50], Image [2858], Avg Loss: 1.4378
Epoch [37/50], Image [2858], Avg Loss: 1.4304
Epoch [38/50], Image [2858], Avg Loss: 1.3455
Epoch [39/50], Image [2858], Avg Loss: 1.3593
Epoch [40/50], Image [2858], Avg Loss: 1.3764
Epoch [41/50], Image [2858], Avg Loss: 1.2868
Epoch [42/50], Image [2858], Avg Loss: 1.2769
Epoch [43/50], Image [2858], Avg Loss: 1.2426
Epoch [44/50], Image [2858], Avg Loss: 1.2251
Epoch [45/50], Image [2858], Avg Loss: 1.2441
Epoch [46/50], Image [2858], Avg Loss: 1.2029
Epoch [47/50], Image [2858], Avg Loss: 1.1590
Epoch [48/50], Image [2858], Avg Loss: 1.1529
Epoch [49/50], Image [2858], Avg Loss: 1.1257
Epoch [50/50], Image [2858], Avg Loss: 1.1047
